SensorName,LastCommunicationDate,X_mms,Y_mms,Z_mms,X_hz,Y_hz,Z_hz,Fault
Sensor-300579,08-08-2017 09:38,24.5,7.2,4.6,12,15,10,1
Sensor-300575,08-08-2017 09:39,12.7,1.8,2.2,10,12,16,0
Sensor-300578,08-08-2017 09:45,24,14.5,13.1,13,15,16,0
Sensor-300577,08-08-2017 09:48,14.7,11.5,14.4,11,11,13,0
Sensor-300579,08-08-2017 09:48,3,1.3,1,9,25,9,1
Sensor-300575,08-08-2017 09:49,1.3,0.6,1,11,12,13,0
Sensor-300578,08-08-2017 09:55,22.7,20.9,5.9,12,14,17,1
Sensor-300577,08-08-2017 09:58,12.2,12.4,24.5,14,13,10,0
Sensor-300579,08-08-2017 09:58,1.8,1.1,1.2,14,14,13,1
Sensor-300575,08-08-2017 09:59,4,1.3,2.1,11,11,12,1
Sensor-300578,08-08-2017 10:05,13.8,5.5,5,9,10,11,0
Sensor-300577,08-08-2017 10:08,18.1,6.2,4.3,9,17,11,1
Sensor-300579,08-08-2017 10:08,10.1,9.6,7.3,22,9,16,0
Sensor-300575,08-08-2017 10:09,0.5,0.6,0.5,12,11,12,1
Sensor-300578,08-08-2017 10:15,8,23.8,3.8,10,10,15,1
Sensor-300577,08-08-2017 10:18,2.2,15.2,0,11,11,19,0
Sensor-300579,08-08-2017 10:18,4.3,1.5,1.5,12,12,14,0
Sensor-300575,08-08-2017 10:19,2.6,0.9,1.3,11,12,11,1
Sensor-300578,08-08-2017 10:25,1.3,18.7,9,11,14,15,0
Sensor-300577,08-08-2017 10:28,16.6,9.4,18,11,13,13,1
Sensor-300579,08-08-2017 10:28,11.3,3.1,2.6,10,10,10,0
Sensor-300575,08-08-2017 10:29,17.1,2.2,3.7,13,16,15,1
Sensor-300578,08-08-2017 10:35,11.7,10.4,18.9,10,19,17,0
Sensor-300579,08-08-2017 10:38,12.2,4.4,3.6,11,11,10,0
Sensor-300575,08-08-2017 10:39,4.8,1.9,2.2,13,12,10,0
Sensor-300578,08-08-2017 10:45,15.9,0.1,25.5,10,14,13,1
Sensor-300577,08-08-2017 10:48,1.4,17.3,1.1,11,14,11,0
Sensor-300579,08-08-2017 10:48,2.6,2.3,1.9,20,12,11,1
Sensor-300575,08-08-2017 10:49,3.8,1.8,2.7,11,13,11,0
Sensor-300578,08-08-2017 10:55,6,21.1,7.4,10,13,18,1
Sensor-300577,08-08-2017 10:58,22,20.3,11.9,13,15,14,1
Sensor-300579,08-08-2017 10:58,11.6,1.5,1.5,11,11,11,1
Sensor-300575,08-08-2017 11:00,0.9,0.7,0.9,11,11,13,1
Sensor-300578,08-08-2017 11:05,24.3,21.1,21.8,12,14,15,1
Sensor-300577,08-08-2017 11:08,3.5,20,6.6,10,12,16,0
Sensor-300579,08-08-2017 11:08,17.9,4,3.3,11,12,12,1
Sensor-300575,08-08-2017 11:10,3.2,1.3,1.4,14,11,12,0
Sensor-300578,08-08-2017 11:15,10.4,9.1,7.1,16,10,15,1
Sensor-300577,08-08-2017 11:18,23,24.2,4,9,9,11,0
Sensor-300579,08-08-2017 11:18,8.3,2.7,1.9,13,12,14,1
Sensor-300575,08-08-2017 11:20,6.2,1.4,2.2,11,12,12,1
Sensor-300578,08-08-2017 11:25,2.7,5.5,5.6,12,14,13,0
Sensor-300577,08-08-2017 11:28,15,10,25.1,10,11,11,0
Sensor-300579,08-08-2017 11:28,15.4,3.8,2.1,9,10,15,0
Sensor-300575,08-08-2017 11:30,6.4,0.6,1,12,12,12,1
Sensor-300578,08-08-2017 11:35,18.4,0.8,1.4,13,12,17,0
Sensor-300577,08-08-2017 11:38,7.1,5.5,13.4,10,11,12,1
Sensor-300579,08-08-2017 11:38,9.2,4.4,4.6,13,11,13,1
Sensor-300575,08-08-2017 11:40,10.8,2.5,3.7,12,11,14,1
Sensor-300578,08-08-2017 11:45,23.7,13.1,14.7,9,13,16,1
Sensor-300577,08-08-2017 11:48,4.2,9.6,9.3,17,13,12,1
Sensor-300579,08-08-2017 11:48,3.5,1.9,1.5,14,10,11,1
Sensor-300575,08-08-2017 11:50,1.3,0.7,1.2,13,14,12,1
Sensor-300578,08-08-2017 11:55,17.2,5.1,9,13,11,18,1
Sensor-300577,08-08-2017 11:58,16.9,12.5,18.1,11,13,18,0
Sensor-300579,08-08-2017 11:58,14.6,2.8,2.9,13,16,14,1
Sensor-300575,08-08-2017 12:00,2.1,1.2,1.3,11,14,12,0
Sensor-300578,08-08-2017 12:05,9.6,10.4,22,11,12,12,1
Sensor-300577,08-08-2017 12:08,23.5,13.1,1.5,9,9,13,1
Sensor-300575,08-08-2017 12:10,0.4,0.6,0.6,11,13,13,0
Sensor-300575,08-08-2017 12:20,0.5,0.6,0.6,10,11,14,1
Sensor-300575,08-08-2017 12:30,0.5,0.6,0.5,15,12,11,0
Sensor-300575,08-08-2017 12:40,0.5,0.6,0.5,14,11,12,1
Sensor-300575,08-08-2017 12:50,0.5,0.6,0.6,13,12,13,0
Sensor-300575,08-08-2017 13:00,0.5,0.5,0.5,16,13,12,0
Sensor-300575,08-08-2017 13:11,0.5,0.6,0.6,14,12,18,1
Sensor-300575,08-08-2017 13:21,0.5,0.5,0.7,12,16,12,0
Sensor-300575,08-08-2017 13:31,0.5,0.5,0.6,13,12,12,1
Sensor-300577,08-08-2017 13:38,9.7,4.7,22.1,9,9,9,0
Sensor-300575,08-08-2017 13:41,3.4,1.6,1.6,11,14,10,1
Sensor-300578,08-08-2017 13:45,14.6,13.1,4.4,10,18,12,0
Sensor-300579,08-08-2017 13:47,3.9,1.5,1.9,9,10,11,0
Sensor-300577,08-08-2017 13:48,7.6,5.6,13.8,13,11,11,1
Sensor-300575,08-08-2017 13:51,8.6,2.5,2.8,14,13,13,0
Sensor-300578,08-08-2017 13:55,12.6,5.9,23.1,9,12,13,0
Sensor-300579,08-08-2017 13:57,5.2,3.7,6.6,9,11,9,0
Sensor-300577,08-08-2017 13:58,25.3,15.8,1.6,10,12,18,1
Sensor-300575,08-08-2017 14:01,6.3,0.8,1.3,12,12,12,1
Sensor-300578,08-08-2017 14:05,22.8,20.3,6.4,10,13,15,1
Sensor-300579,08-08-2017 14:07,5.2,2.3,3.3,12,9,10,1
Sensor-300577,08-08-2017 14:08,22.6,9.2,20.4,11,13,11,1
Sensor-300575,08-08-2017 14:11,2.8,2,1.8,14,13,13,0
Sensor-300578,08-08-2017 14:16,14.8,13.8,19.3,11,15,13,0
Sensor-300579,08-08-2017 14:17,5.2,4.6,3.9,9,14,18,0
Sensor-300577,08-08-2017 14:18,21.6,16.3,2.3,12,12,14,1
Sensor-300575,08-08-2017 14:21,3.7,1.9,2.3,10,10,13,1
Sensor-300578,08-08-2017 14:26,8.5,25.5,24.5,13,14,12,1
Sensor-300579,08-08-2017 14:26,4.9,2.6,2.4,10,13,12,0
Sensor-300577,08-08-2017 14:28,14.7,11.2,20.4,12,11,12,1
Sensor-300575,08-08-2017 14:31,6.6,0.9,0.9,10,13,11,1
Sensor-300578,08-08-2017 14:36,9.2,1.7,3.9,12,11,13,0
Sensor-300579,08-08-2017 14:36,3.4,2,1.8,10,10,10,1
Sensor-300577,08-08-2017 14:38,13.7,11,24.9,12,12,11,1
Sensor-300575,08-08-2017 14:41,1.9,1.2,1.3,17,11,12,1
Sensor-300578,08-08-2017 14:46,21.6,16.3,6.4,11,14,18,0
Sensor-300579,08-08-2017 14:46,16.1,3.9,4.7,10,15,18,0
Sensor-300577,08-08-2017 14:48,9.2,6.1,20.1,11,11,10,1
Sensor-300575,08-08-2017 14:51,11.3,2.3,3,10,10,10,0
Sensor-300578,08-08-2017 14:56,12.3,12.3,2.3,13,14,18,0
Sensor-300579,08-08-2017 14:56,2.6,6.3,4.2,11,18,10,0
Sensor-300577,08-08-2017 14:58,22,16,24.7,10,11,17,1
Sensor-300575,08-08-2017 15:01,7,1.3,1.4,14,12,13,1
Sensor-300578,08-08-2017 15:06,10.2,21.9,1.4,9,14,14,1
Sensor-300579,08-08-2017 15:06,7.8,1,1.4,14,14,10,1
Sensor-300577,08-08-2017 15:08,18.2,21.1,22.6,16,10,24,0
Sensor-300575,08-08-2017 15:11,6.6,0.7,1.1,12,16,14,1
Sensor-300578,08-08-2017 15:16,8.6,22.7,5.5,11,19,14,1
Sensor-300579,08-08-2017 15:16,12.5,6.1,5.4,13,18,14,0
Sensor-300577,08-08-2017 15:18,12.3,12.2,14.4,10,10,19,0
Sensor-300575,08-08-2017 15:21,5.2,1.1,1.6,11,10,12,0
Sensor-300578,08-08-2017 15:26,21.1,16.4,6.1,10,10,11,1
Sensor-300579,08-08-2017 15:26,2.1,2.5,2,10,11,11,1
Sensor-300577,08-08-2017 15:28,17.6,14.7,1,12,11,11,1
Sensor-300575,08-08-2017 15:31,0.9,0.5,0.9,13,11,10,0
Sensor-300578,08-08-2017 15:36,20.3,0.9,3.8,10,13,13,0
Sensor-300579,08-08-2017 15:36,4.4,2.2,2.9,12,11,11,0
Sensor-300575,08-08-2017 15:42,2.9,1.5,1.4,11,12,12,0
Sensor-300578,08-08-2017 15:46,15,17.2,4.8,11,10,14,1
Sensor-300579,08-08-2017 15:46,7.1,1,1.2,10,10,17,1
Sensor-300577,08-08-2017 15:49,2.2,16.2,8.8,10,16,21,0
Sensor-300575,08-08-2017 15:52,10.7,1.7,2.8,10,10,14,0
Sensor-300578,08-08-2017 15:56,0.8,23,17,11,13,18,0
Sensor-300579,08-08-2017 15:56,3,1.7,1.5,9,9,11,1
Sensor-300577,08-08-2017 15:59,12.5,7,19,9,10,12,0
Sensor-300575,08-08-2017 16:02,1.9,1.3,1.4,11,10,13,0
Sensor-300578,08-08-2017 16:06,2,4.6,0.2,11,13,17,0
Sensor-300579,08-08-2017 16:06,10.3,0.9,1.8,14,14,11,1
Sensor-300577,08-08-2017 16:09,1.7,19.2,4.8,11,13,17,0
Sensor-300575,08-08-2017 16:12,2.1,1,1.5,11,15,13,1
Sensor-300578,08-08-2017 16:16,2.4,4.4,14.1,12,12,17,0
Sensor-300579,08-08-2017 16:16,20.1,3.3,3.1,10,14,11,1
Sensor-300577,08-08-2017 16:19,23.4,20.3,5.3,12,11,11,0
Sensor-300575,08-08-2017 16:22,5.4,2.2,3.1,12,11,11,1
Sensor-300578,08-08-2017 16:26,10.6,7.4,15.5,9,16,14,1
Sensor-300579,08-08-2017 16:26,21.6,6.6,5.5,10,10,10,1
Sensor-300577,08-08-2017 16:29,12.7,7.9,22.8,10,11,10,0
Sensor-300575,08-08-2017 16:32,0.5,0.6,0.7,13,13,10,1
Sensor-300579,08-08-2017 16:36,1.1,0.8,0.8,9,9,9,0
Sensor-300577,08-08-2017 16:39,21.5,4,12.7,16,32,11,0
Sensor-300575,08-08-2017 16:42,0.7,0.7,0.9,10,13,13,0
Sensor-300578,08-08-2017 16:46,5,25.5,17.7,10,10,13,0
Sensor-300579,08-08-2017 16:46,5.7,4.6,2.9,13,10,16,0
Sensor-300577,08-08-2017 16:49,19.5,10.4,24.8,10,11,11,0
Sensor-300575,08-08-2017 16:52,4.3,1.5,2.3,18,11,10,0
Sensor-300578,08-08-2017 16:56,24.7,19,7.9,11,16,17,0
Sensor-300579,08-08-2017 16:56,17.6,3.5,2.9,11,10,9,1
Sensor-300577,08-08-2017 16:59,19.8,10.5,7.7,10,13,10,0
Sensor-300575,08-08-2017 17:02,9.4,2.1,2.3,11,13,10,1
Sensor-300578,08-08-2017 17:06,18,1.3,20.3,12,12,14,0
Sensor-300579,08-08-2017 17:06,3.1,2.8,3.2,11,11,13,0
Sensor-300577,08-08-2017 17:09,19.8,8.7,5.6,10,14,9,1
Sensor-300575,08-08-2017 17:12,2.7,1,1.4,11,13,11,1
Sensor-300578,08-08-2017 17:16,24.9,17.7,16,11,11,14,1
Sensor-300579,08-08-2017 17:16,12.9,2.7,2.8,14,12,13,1
Sensor-300577,08-08-2017 17:19,25.2,18.8,20.4,11,12,10,1
Sensor-300575,08-08-2017 17:22,5.4,2.2,2.7,15,10,11,1
Sensor-300578,08-08-2017 17:26,1.9,5.4,17.1,11,10,17,1
Sensor-300579,08-08-2017 17:26,7,0.9,2,13,12,11,0
Sensor-300577,08-08-2017 17:29,20.8,9.4,20.1,10,21,20,1
Sensor-300575,08-08-2017 17:32,3.1,1.8,2.4,13,14,14,1
Sensor-300578,08-08-2017 17:36,3.7,5.6,16.5,15,19,13,1
Sensor-300579,08-08-2017 17:36,1.7,1,1.4,13,9,9,1
Sensor-300575,08-08-2017 17:42,0.5,0.6,0.5,11,10,16,0
Sensor-300575,08-08-2017 17:52,0.4,0.5,0.5,10,13,11,1
Sensor-300575,08-08-2017 18:02,4.1,0.7,0.7,12,12,13,1
Sensor-300579,08-08-2017 18:05,13.6,6.5,3.6,12,11,15,1
Sensor-300578,08-08-2017 18:06,24.8,18.6,17.4,11,12,17,0
Sensor-300577,08-08-2017 18:09,24.5,20.4,24.4,11,10,23,0
Sensor-300575,08-08-2017 18:12,3.8,1.9,2.4,12,10,11,1
Sensor-300579,08-08-2017 18:15,15.8,3.8,3.4,12,19,13,1
Sensor-300578,08-08-2017 18:16,7.1,24.4,0.2,12,15,14,0
Sensor-300577,08-08-2017 18:19,16.3,17.3,5.8,13,12,10,0
Sensor-300575,08-08-2017 18:23,3.7,1.3,2.4,13,14,11,0
Sensor-300579,08-08-2017 18:25,19.2,1.1,1.7,9,11,11,1
Sensor-300578,08-08-2017 18:26,19.2,21.1,7.4,14,11,12,0
Sensor-300577,08-08-2017 18:29,22.5,19.8,6.7,9,10,12,1
Sensor-300575,08-08-2017 18:33,2.9,0.9,1.2,11,14,18,0
Sensor-300579,08-08-2017 18:35,3.5,5.3,3.1,14,13,11,1
Sensor-300578,08-08-2017 18:36,2.7,21.1,12.4,12,10,18,1
Sensor-300577,08-08-2017 18:39,7.9,4.6,11.5,15,14,13,1
Sensor-300575,08-08-2017 18:43,7.7,1.7,2.7,12,16,15,1
Sensor-300579,08-08-2017 18:45,3.8,1.5,1.4,9,16,27,0
Sensor-300578,08-08-2017 18:46,23.3,15.5,3.5,10,10,10,1
Sensor-300575,08-08-2017 18:53,2.1,1.2,1.5,11,12,14,0
Sensor-300579,08-08-2017 18:55,6.3,3.4,4.2,13,22,18,1
Sensor-300578,08-08-2017 18:56,25,20.3,6.2,11,12,17,0
Sensor-300577,08-08-2017 18:59,24.4,19.2,22.5,11,10,20,1
Sensor-300575,08-08-2017 19:03,7.5,1.1,1.6,11,11,15,0
Sensor-300579,08-08-2017 19:05,4.8,3.1,5.1,14,14,12,0
Sensor-300578,08-08-2017 19:06,14.3,6.7,22,10,12,30,1
Sensor-300577,08-08-2017 19:09,2.1,19.5,0,10,12,33,0
Sensor-300575,08-08-2017 19:13,11.9,1.6,2,11,13,12,0
Sensor-300579,08-08-2017 19:15,16.4,2.2,2,9,12,11,1
Sensor-300578,08-08-2017 19:17,12.7,0.6,2.1,13,15,12,1
Sensor-300577,08-08-2017 19:19,20.4,17.8,4.5,11,12,16,0
Sensor-300575,08-08-2017 19:23,9.1,1.8,2.6,12,11,12,0
Sensor-300579,08-08-2017 19:25,19.7,3.4,3.1,11,12,10,1
Sensor-300578,08-08-2017 19:27,5.8,23.4,17.4,12,11,19,0
Sensor-300577,08-08-2017 19:29,15.3,11.4,23.6,11,13,12,0
Sensor-300575,08-08-2017 19:33,1.9,1.1,1.5,13,17,16,1
Sensor-300579,08-08-2017 19:35,11.3,2.3,2.3,11,10,10,1
Sensor-300578,08-08-2017 19:37,10.5,17.6,15.3,17,10,10,0
Sensor-300577,08-08-2017 19:39,2.5,13.8,10.9,9,12,10,1
Sensor-300575,08-08-2017 19:43,12.2,2.2,2.6,12,12,12,1
Sensor-300579,08-08-2017 19:45,12.3,3,2.6,13,10,10,1
Sensor-300578,08-08-2017 19:47,16.3,25.1,20,16,11,18,1
Sensor-300577,08-08-2017 19:49,15.9,13.4,0,18,11,20,1
Sensor-300575,08-08-2017 19:53,12.9,0.6,1.2,10,11,11,1
Sensor-300579,08-08-2017 19:55,3.3,1.3,2,10,34,13,0
Sensor-300578,08-08-2017 19:57,23.6,25.5,0.7,14,18,11,1
Sensor-300577,08-08-2017 19:59,10.8,7.3,20.8,13,13,11,1
Sensor-300575,08-08-2017 20:03,7.8,1.4,1.8,11,13,13,0
Sensor-300579,08-08-2017 20:05,8.1,13,6.4,22,9,13,0
Sensor-300578,08-08-2017 20:07,24.6,19.4,21,9,9,9,1
Sensor-300575,08-08-2017 20:13,0.5,0.6,0.7,12,10,13,1
Sensor-300579,08-08-2017 20:15,1.5,1.2,1.6,9,12,9,0
Sensor-300578,08-08-2017 20:17,8.4,4.5,21.5,15,11,13,0
Sensor-300577,08-08-2017 20:19,18.2,11,7,11,15,11,0
Sensor-300575,08-08-2017 20:23,3.4,0.8,1.1,12,13,14,1
Sensor-300579,08-08-2017 20:25,9.1,3.8,3.2,10,15,17,0
Sensor-300578,08-08-2017 20:27,7.1,24.1,5.4,10,13,18,0
Sensor-300575,08-08-2017 20:34,11.6,2,3.7,11,12,12,0
Sensor-300579,08-08-2017 20:35,1.6,0.7,1,15,17,20,1
Sensor-300578,08-08-2017 20:37,11.5,16.8,24.5,13,11,22,1
Sensor-300577,08-08-2017 20:39,14,8.5,22.4,11,13,11,0
Sensor-300575,08-08-2017 20:44,3.8,0.7,1.1,10,13,11,0
Sensor-300579,08-08-2017 20:45,13.3,5.9,3.8,12,10,13,0
Sensor-300578,08-08-2017 20:47,22,17.5,14.6,15,12,12,0
Sensor-300577,08-08-2017 20:49,9.4,5.9,15.7,11,18,12,1
Sensor-300575,08-08-2017 20:54,10.6,1.3,2.1,11,13,14,1
Sensor-300579,08-08-2017 20:55,18,3.1,2.5,10,15,11,1
Sensor-300578,08-08-2017 20:57,12,16.4,22.2,12,12,10,0
Sensor-300577,08-08-2017 20:59,19.1,12.3,1.8,11,11,11,0
Sensor-300575,08-08-2017 21:04,4.9,0.7,1.1,13,11,11,0
Sensor-300579,08-08-2017 21:05,15.9,3.8,3.2,14,13,20,1
Sensor-300578,08-08-2017 21:07,19.5,16,17,11,15,19,0
Sensor-300577,08-08-2017 21:09,18.7,12.1,19.5,11,13,19,0
Sensor-300575,08-08-2017 21:14,5.1,0.8,1.1,10,17,13,0
Sensor-300579,08-08-2017 21:15,13,4.4,2.8,11,9,11,0
Sensor-300578,08-08-2017 21:17,17.4,23.6,10.1,12,10,15,0
Sensor-300577,08-08-2017 21:20,14.9,15.1,22.9,13,11,11,1
Sensor-300575,08-08-2017 21:24,8.9,0.8,1.4,9,13,12,0
Sensor-300579,08-08-2017 21:25,7.6,5.6,5,12,18,12,1
Sensor-300578,08-08-2017 21:27,19.3,20.6,10.6,12,15,21,0
Sensor-300577,08-08-2017 21:30,14.5,14.8,4.7,12,11,11,1
Sensor-300575,08-08-2017 21:34,1.8,0.9,1.3,13,18,11,0
Sensor-300579,08-08-2017 21:35,2,1.4,1.7,13,15,14,0
Sensor-300578,08-08-2017 21:37,6,5.4,24,13,13,11,1
Sensor-300577,08-08-2017 21:40,9.9,5.4,15.6,10,12,13,1
Sensor-300575,08-08-2017 21:44,3.7,1.7,2.6,11,12,15,0
Sensor-300579,08-08-2017 21:45,19.9,3.8,3.1,14,15,13,0
Sensor-300578,08-08-2017 21:47,2.3,21.6,4.1,12,16,21,0
Sensor-300577,08-08-2017 21:50,13,18.2,23.1,21,12,21,1
Sensor-300575,08-08-2017 21:54,9.1,2.5,4.2,11,13,11,1
Sensor-300579,08-08-2017 21:55,9.6,3.1,5.7,22,12,16,0
Sensor-300578,08-08-2017 21:57,15.9,6.2,22.9,10,10,12,1
Sensor-300577,08-08-2017 22:00,12.7,12.5,16.8,11,21,15,0
Sensor-300575,08-08-2017 22:04,2.4,1.4,1.7,12,15,13,1
Sensor-300579,08-08-2017 22:04,4.7,2.9,2.7,9,9,9,1
Sensor-300575,08-08-2017 22:14,0.5,0.6,0.6,10,11,12,0
Sensor-300575,08-08-2017 22:24,0.4,0.6,0.6,11,14,10,1
Sensor-300575,08-08-2017 22:35,0.5,0.6,0.5,12,14,11,1
Sensor-300575,08-08-2017 22:45,0.5,0.6,0.5,12,14,11,0
Sensor-300575,08-08-2017 22:55,0.5,0.6,0.5,10,13,14,1
Sensor-300575,08-08-2017 23:05,0.5,0.6,0.5,13,12,10,0
Sensor-300575,08-08-2017 23:15,0.4,0.5,0.4,13,11,10,0
Sensor-300575,08-08-2017 23:25,0.5,0.5,0.4,12,10,12,1
Sensor-300575,08-08-2017 23:35,0.5,0.5,0.4,13,10,13,0
Sensor-300575,08-08-2017 23:45,0.4,0.6,0.4,12,11,14,0
Sensor-300575,08-08-2017 23:55,0.5,0.6,0.5,12,10,13,1
Sensor-300575,09-08-2017 00:05,0.4,0.6,0.4,13,13,11,0
Sensor-300575,09-08-2017 00:15,0.5,0.5,0.4,12,12,13,0
Sensor-300575,09-08-2017 00:25,0.5,0.5,0.5,13,12,11,0
Sensor-300575,09-08-2017 00:35,0.5,0.6,0.4,10,12,12,0
Sensor-300575,09-08-2017 00:45,0.4,0.6,0.4,11,14,12,0
Sensor-300575,09-08-2017 00:55,0.5,0.6,0.4,11,11,10,1
Sensor-300575,09-08-2017 01:06,0.4,0.5,0.4,11,13,14,0
Sensor-300575,09-08-2017 01:16,0.5,0.6,0.5,12,13,16,0
Sensor-300575,09-08-2017 01:26,0.5,0.6,0.5,11,13,12,1
Sensor-300575,09-08-2017 01:36,0.5,0.6,0.5,12,11,11,1
Sensor-300575,09-08-2017 01:46,0.9,0.6,0.8,10,12,12,0
Sensor-300578,09-08-2017 01:48,6.3,1.6,3.2,9,9,13,1
Sensor-300577,09-08-2017 01:50,15.6,10.8,21.1,11,11,9,1
Sensor-300575,09-08-2017 01:56,0.4,0.5,0.5,11,13,11,0
Sensor-300578,09-08-2017 01:58,3.6,5.8,17.8,13,9,9,1
Sensor-300575,09-08-2017 02:06,0.4,0.6,0.5,14,12,11,1
Sensor-300575,09-08-2017 02:16,0.4,0.6,0.5,12,12,9,1
Sensor-300575,09-08-2017 02:26,0.5,0.6,0.5,13,10,12,0
Sensor-300575,09-08-2017 02:36,0.5,0.6,0.4,12,12,13,1
Sensor-300575,09-08-2017 02:46,0.5,0.6,0.4,11,15,12,0
Sensor-300575,09-08-2017 02:56,0.4,0.7,0.4,11,13,11,0
Sensor-300578,09-08-2017 02:58,22.5,8.5,17,16,19,13,1
Sensor-300577,09-08-2017 03:00,3.8,9.8,25.3,9,16,9,0
Sensor-300579,09-08-2017 03:02,4.1,2.8,1.9,9,47,9,1
Sensor-300575,09-08-2017 03:06,0.8,0.6,0.7,14,14,14,0
Sensor-300578,09-08-2017 03:08,17.8,18.5,14.5,13,9,9,1
Sensor-300575,09-08-2017 03:16,0.5,0.6,0.6,10,11,15,1
Sensor-300575,09-08-2017 03:27,0.4,0.6,0.6,14,10,15,0
Sensor-300575,09-08-2017 03:37,0.5,0.6,0.5,10,11,10,0
Sensor-300577,09-08-2017 03:40,9.6,7.7,23.8,14,13,12,1
Sensor-300579,09-08-2017 03:42,0.7,1,1,9,9,9,0
Sensor-300575,09-08-2017 03:47,1,0.6,1,9,17,13,0
Sensor-300578,09-08-2017 03:48,18.7,14.8,13.5,12,13,13,1
Sensor-300577,09-08-2017 03:50,13.7,9.9,19.7,13,14,14,0
Sensor-300579,09-08-2017 03:52,24.1,2.2,2.4,10,10,11,0
Sensor-300575,09-08-2017 03:57,7.5,2.8,3.8,11,12,12,0
Sensor-300578,09-08-2017 03:58,22.8,25.3,16.9,13,9,11,0
Sensor-300577,09-08-2017 04:00,22.6,20.8,25.3,11,10,22,0
Sensor-300579,09-08-2017 04:02,2.8,2,2.2,11,9,15,1
Sensor-300575,09-08-2017 04:07,7.5,1.7,1.6,12,13,12,0
Sensor-300578,09-08-2017 04:08,20,21.3,21.7,12,12,12,1
Sensor-300577,09-08-2017 04:10,10.7,1.7,13.5,9,17,16,1
Sensor-300579,09-08-2017 04:11,4.9,3.3,2.4,12,9,11,1
Sensor-300575,09-08-2017 04:17,6.7,1.4,2,13,11,12,1
Sensor-300578,09-08-2017 04:18,11.7,6.6,4.5,11,12,16,1
Sensor-300577,09-08-2017 04:20,21.9,18,6.8,11,13,12,0
Sensor-300579,09-08-2017 04:21,2.2,0.8,1.4,17,18,14,1
Sensor-300575,09-08-2017 04:27,9.3,1.8,2.9,11,14,14,0
Sensor-300578,09-08-2017 04:28,4.5,19.5,21.6,10,17,13,0
Sensor-300577,09-08-2017 04:30,6.4,7.1,21,11,13,15,0
Sensor-300579,09-08-2017 04:31,5.2,4.2,3,11,11,11,0
Sensor-300575,09-08-2017 04:37,8.3,1.8,1.7,11,11,22,1
Sensor-300578,09-08-2017 04:38,21.2,22.9,24.6,10,11,9,0
Sensor-300577,09-08-2017 04:40,23.2,18.1,4.7,12,17,24,1
Sensor-300579,09-08-2017 04:41,23,2.5,2.4,10,10,21,0
Sensor-300575,09-08-2017 04:47,3.4,1.5,2.4,11,12,12,1
Sensor-300578,09-08-2017 04:48,14.5,1.2,2.8,9,12,10,1
